depth	imgcount	area	nbr	greylimit1	greylimit2	greylimit3
3	28	14	6	9	16	31
3	28	8	17	10	14	21
3	28	7	31	6	10	15
3	28	6	46	7	10	16
3	28	5	77	7	11	16
3	28	4	119	6	9	13
3	28	3	159	5	7	10
3	28	2	586	3	4	6
3	28	10	12	9	12	16
3	28	9	14	10	16	18
3	28	29	2	18	18	42
3	28	39	1	21	21	21
3	28	38	2	22	22	31
3	28	21	3	11	11	23
3	28	16	6	11	13	20
3	28	12	6	10	10	18
3	28	19	1	11	11	11
3	28	13	7	9	13	21
3	28	35	2	27	27	60
3	28	17	2	7	7	27
3	28	11	3	8	14	42
3	28	15	4	6	13	18
3	28	43	2	52	52	68
3	28	57	1	70	70	70
3	28	23	2	4	4	27
3	28	18	2	22	22	27
3	28	32	2	16	16	20
3	28	26	1	6	6	6
3	28	20	2	11	11	24
3	28	33	1	4	4	4
3	28	54	1	5	5	5
3	28	31	1	25	25	25
3	28	44	1	9	9	9
3	28	82	1	7	7	7
3	28	34	1	12	12	12
3	28	133	1	31	31	31
3	28	37	1	13	13	13
3	28	164	1	45	45	45
3	28	24	1	4	4	4
4	81	8	80	7	11	16
4	81	7	118	7	11	17
4	81	6	154	8	12	17
4	81	5	244	7	12	16
4	81	4	332	6	10	15
4	81	3	477	5	7	11
4	81	2	1583	3	4	6
4	81	19	13	9	18	22
4	81	13	16	7	11	19
4	81	12	40	8	12	19
4	81	9	50	8	11	15
4	81	10	45	8	12	15
4	81	14	21	10	11	13
4	81	17	10	17	21	34
4	81	16	12	10	11	18
4	81	20	8	7	14	29
4	81	11	27	8	13	21
4	81	24	2	59	59	60
4	81	28	3	14	16	55
4	81	21	10	11	18	29
4	81	33	2	7	7	43
4	81	15	19	9	16	23
4	81	27	4	5	6	80
4	81	18	5	20	23	33
4	81	22	5	11	16	45
4	81	29	3	11	18	65
4	81	25	4	5	6	37
4	81	94	1	30	30	30
4	81	23	4	10	16	41
4	81	50	1	15	15	15
4	81	26	3	7	7	9
4	81	46	1	13	13	13
4	81	76	1	15	15	15
4	81	30	1	8	8	8
4	81	62	2	4	4	55
4	81	124	1	77	77	77
4	81	134	1	8	8	8
4	81	61	1	7	7	7
4	81	60	1	8	8	8
4	81	252	1	5	5	5
