orig_id	objid	name	taxo_hierarchy	classif_qual	depth_including_offset	psampleid	%area	angle	area	area_exc	areai	bx	by	cdexc	centroids	circ.	circex	compentropy	compm1	compm2	compm3	compmean	compslope	convarea	convarea_area	convperim	convperim_perim	cv	elongation	esd	fcons	feret	feretareaexc	fractal	height	histcum1	histcum2	histcum3	intden	kurt	kurt_mean	major	max	mean	meanpos	median	median_mean	median_mean_range	min	minor	mode	nb1	nb1_area	nb1_range	nb2	nb2_area	nb2_range	nb3	nb3_area	nb3_range	perim.	perimareaexc	perimferet	perimmajor	range	skelarea	skeleton_area	skew	skew_mean	slope	sr	stddev	symetrieh	symetrieh_area	symetriehc	symetriev	symetriev_area	symetrievc	tag	thickr	width	x	xm	xmg5	xstart	y	ym	ymg5	ystart
bats361_ctd20_608	146235408	badfocus<artefact	not-living>artefact>badfocus	V	272.59999999999997	33973	89.38	149.5	320.0	34.0	237.0	20.0	14.0	0.0	0.0	0.169	0.0180155422874098	0.0	0.0	0.0	0.0	0.0	0.0	450.0	1.40625	102.0	0.662337662337662	0.795133781258697	1.15789473684211	20.1850601761613	0.592	27.7	4.80196038399025	1.094	27.0	249.0	251.0	252.0	80491.0	0.943	0.00397566890629348	21.7	255.0	251.53	-0.460823373173971	252.0	0.469999999999999	0.0427272727272726	244.0	18.7	252.0	0.0	0.0	0.0	1.0	0.003125	0.0909090909090909	3.0	0.009375	0.272727272727273	154.07	26.4107821119464	5.5	7.0	11.0	180.0	0.5625	-0.865	-0.00397566890629348	0.109	18.1818181818182	1.885	2.892	0.009375	2.0	2.877	0.009375	2.0	1.0	5.1	27.0	31.81	31.81	0.0	30.0	28.91	28.91	0.0	14.0
bats361_ctd20_715	146234106	detritus	not-living>detritus	V	497.59999999999997	33973	100.0	152.0	117.0	0.0	113.0	17.0	13.0		0.0	0.697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	126.0	1.07692307692308	52.0	1.1304347826087	53.3733133433283	2.25	12.2052868353847	0.0	18.4		0.818	12.0	94.0	203.0	244.0	19510.0	-0.968	-0.00599700149925037	18.0	253.0	166.75	-0.517241379310345	204.0	37.25	0.147233201581028	0.0	8.3	0.0	1.0	0.00854700854700855	0.00395256916996047	1.0	0.00854700854700855	0.00395256916996047	1.0	0.00854700854700855	0.00395256916996047	45.94		2.55555555555556	2.55555555555556	253.0	11.0	0.094017094017094	-0.718	-0.00599700149925037	0.014	35.1778656126482	88.501	2.291	0.0170940170940171	2.0	2.325	0.0170940170940171	2.0	1.0	1.385	16.0	25.29	25.06	0.0	19.0	19.14	19.16	0.0	13.0
bats361_ctd20_6	146235544	Collodaria	living>Eukaryota>Harosa>Rhizaria>Retaria>Polycystinea>Collodaria	V	4.4	33973	80.38	17.7	260.0	51.0	136.0	29.0	22.0	0.0	0.0	0.142	0.0281077541043076	0.0	0.0	0.0	0.0	0.0	0.0	452.0	1.73846153846154	96.0	0.635761589403974	2.41041298409127	1.71428571428571	18.1945673658689	0.0	30.9	4.34086826048683	1.079	22.0	244.0	248.0	251.0	64719.0	2.07	0.00803470994697091	23.7	255.0	248.92	-0.234567901234568	251.0	2.08000000000001	0.0650000000000004	223.0	14.0	255.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	151.48	21.1442292688229	4.87096774193548	6.29166666666667	32.0	110.0	0.423076923076923	-1.404	-0.00401735497348546	0.051	18.75	5.726	3.019	0.0115384615384615	4.0	2.919	0.0115384615384615	3.0	1.0	2.632	28.0	42.64	42.62	0.0	52.0	34.63	34.62	0.0	22.0
bats361_ctd20_211	146233704	Copepoda	living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Arthropoda>Crustacea>Maxillopoda>Copepoda	V	69.7	33973	100.0	13.0	151.0	0.0	142.0	29.0	10.0		0.0	0.316	0.0	0.0	0.0	0.0	0.0	0.0	0.0	207.0	1.37086092715232	77.0	0.987179487179487	26.2316974292937	3.0	13.8657553438321	0.0	28.3		0.914	13.0	196.0	227.0	247.0	31660.0	3.503	0.0190775981303954	23.9	253.0	209.67	-0.206658081747508	228.0	18.33	0.0724505928853755	0.0	8.0	252.0	1.0	0.00662251655629139	0.00395256916996047	1.0	0.00662251655629139	0.00395256916996047	1.0	0.00662251655629139	0.00395256916996047	77.5		2.78571428571429	3.25	253.0	33.0	0.218543046357616	-1.916	-0.00953879906519769	0.019	21.7391304347826	54.912	4.295	0.0264900662251656	5.0	4.235	0.0264900662251656	5.0	1.0	1.944	28.0	43.86	43.86	0.0	52.0	17.86	17.95	0.0	10.0
bats361_ctd20_100	146233766	badfocus<artefact	not-living>artefact>badfocus	V	33.300000000000004	33973	100.0	96.3	106.0	0.0	100.0	14.0	15.0		0.0	0.547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	133.0	1.25471698113208	50.0	1.02040816326531	11.2102789634804	1.09090909090909	11.6173745632104	0.0	15.8		0.823	14.0	223.0	242.0	249.0	24585.0	1.36	0.00431164575518475	12.4	253.0	231.93	-0.26694539465349	243.0	11.07	0.1107	153.0	10.9	251.0	1.0	0.00943396226415094	0.01	1.0	0.00943396226415094	0.01	1.0	0.00943396226415094	0.01	49.36		3.0625	4.08333333333333	100.0	22.0	0.207547169811321	-1.564	-0.00862329151036951	0.017	26.0	25.776	2.104	0.0188679245283019	2.0	2.047	0.0188679245283019	2.0	1.0	1.976	13.0	19.65	19.63	0.0	15.0	22.16	22.1	0.0	15.0
bats361_ctd20_200	146286973	detritus	not-living>detritus	V	65.2	33973	100.0	90.4	92.0	0.0	88.0	12.0	13.0		0.0	0.734	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	1.1195652173913	44.0	1.1	28.9594567605353	1.2	10.823032759612	0.0	13.2		0.78	13.0	169.0	219.0	247.0	18426.0	0.206	0.0	12.1	253.0	200.28	-0.306013466449965	224.0	23.72	0.105422222222222	28.0	9.6	252.0	1.0	0.0108695652173913	0.00444444444444444	1.0	0.0108695652173913	0.00444444444444444	2.0	0.0217391304347826	0.00888888888888889	39.7		3.07692307692308	3.33333333333333	225.0	10.0	0.108695652173913	-1.132	-0.00499300978629918	0.013	25.7777777777778	58.496	1.978	0.0217391304347826	2.0	2.043	0.0217391304347826	2.0	1.0	1.571	11.0	17.83	17.75	0.0	16.0	19.85	19.68	0.0	13.0
bats361_ctd20_469	146286954	badfocus<artefact	not-living>artefact>badfocus	V	152.89999999999998	33973	97.6	16.2	125.0	3.0	113.0	16.0	13.0	0.0	0.0	0.564	0.0134208301328151	0.0	0.0	0.0	0.0	0.0	0.0	145.0	1.16	52.0	0.981132075471698	1.61316341345378	1.27272727272727	12.6156626101008	0.0	16.2	9.23760430703401	0.84	13.0	244.0	247.0	250.0	30995.0	-0.728	-0.00403290853363446	14.3	255.0	247.96	-0.785714285714284	248.0	0.039999999999992	0.0024999999999995	239.0	11.1	245.0	0.0	0.0	0.0	2.0	0.016	0.125	1.0	0.008	0.0625	52.77	30.5995642670502	3.3125	3.78571428571429	16.0	33.0	0.264	-0.237	0.0	0.03	25.0	3.633	1.956	0.016	2.0	1.972	0.016	2.0	1.0	1.745	15.0	23.39	23.38	0.0	23.0	19.45	19.45	0.0	13.0
bats361_ctd20_462	146289785	badfocus<artefact	not-living>artefact>badfocus	V	147.7	33973	97.21	64.4	179.0	5.0	152.0	11.0	19.0	0.0	0.0	0.327	0.00912060575871619	0.0	0.0	0.0	0.0	0.0	0.0	227.0	1.26815642458101	66.0	0.795180722891566	0.800416216432545	1.21428571428571	15.0966843547712	0.0	20.0	8.94427190999916	0.928	18.0	247.0	249.0	251.0	44727.0	-0.753	-0.00400208108216272	16.6	255.0	249.87	-0.746724890829693	250.0	0.129999999999995	0.010833333333333	243.0	13.7	252.0	0.0	0.0	0.0	2.0	0.0111731843575419	0.166666666666667	1.0	0.00558659217877095	0.0833333333333333	82.91	37.1187284264965	4.15	4.88235294117647	12.0	73.0	0.407821229050279	-0.259	0.0	0.051	16.6666666666667	2.468	2.154	0.0111731843575419	2.0	2.182	0.0111731843575419	2.0	1.0	2.94	17.0	18.93	18.93	0.0	16.0	28.54	28.55	0.0	19.0
bats361_ctd20_675	146283279	badfocus<artefact	not-living>artefact>badfocus	V	405.4	33973	98.51	146.0	134.0	2.0	118.0	16.0	14.0	0.0	0.0	0.691	0.0104676140061301	0.0	0.0	0.0	0.0	0.0	0.0	151.0	1.12686567164179	54.0	1.10204081632653	3.70705988961199	1.36363636363636	13.0619332028039	0.0	17.0	12.0208152801713	0.841	14.0	236.0	244.0	249.0	32532.0	-0.473	0.0	14.9	255.0	242.78	-0.513877207737595	245.0	2.22	0.0616666666666666	219.0	11.4	253.0	1.0	0.00746268656716418	0.0277777777777778	1.0	0.00746268656716418	0.0277777777777778	1.0	0.00746268656716418	0.0277777777777778	49.36	34.6482322781408	2.88235294117647	3.26666666666667	36.0	27.0	0.201492537313433	-0.754	-0.00411895543290222	0.024	25.0	9.116	1.91	0.0149253731343284	2.0	2.03	0.0149253731343284	2.0	1.0	1.748	15.0	24.07	24.06	0.0	20.0	21.02	21.03	0.0	14.0
bats361_ctd20_781	146283728	badfocus<artefact	not-living>artefact>badfocus	V	655.1	33973	98.85	89.1	174.0	2.0	149.0	14.0	17.0	0.0	0.0	0.381	0.00435123636231273	0.0	0.0	0.0	0.0	0.0	0.0	207.0	1.18965517241379	63.0	0.828947368421053	1.20428726265505	1.14285714285714	14.8843434784312	0.0	18.2	12.7279220613579	0.906	18.0	246.0	249.0	251.0	43345.0	0.616	0.00401429087551684	15.7	254.0	249.11	-0.48367952522255	250.0	0.889999999999986	0.0593333333333324	239.0	14.1	251.0	1.0	0.00574712643678161	0.0666666666666667	1.0	0.00574712643678161	0.0666666666666667	1.0	0.00574712643678161	0.0666666666666667	75.74	53.7401153701776	4.22222222222222	4.75	15.0	52.0	0.298850574712644	-1.0	-0.00401429087551684	0.047	20.0	3.408	2.115	0.0114942528735632	2.0	2.115	0.0114942528735632	2.0	1.0	1.888	16.0	22.36	22.36	0.0	23.0	26.47	26.47	0.0	17.0
