psampleid	pprojid	profileid	filename	sampleid	latitude	longitude	organizedbydeepth	histobrutavailable	qualitytaxo	qualitypart	daterecalculhistotaxo	winddir	winspeed	seastate	nebuloussness	comment	stationid	firstimage	lastimg	lastimgused	bottomdepth	yoyo	sampledate	op_sample_name	op_sample_email	ctd_desc	ctd_origfilename	ctd_import_name	ctd_import_email	ctd_import_datetime	ctd_status	instrumsn	acq_aa	acq_exp	acq_volimage	acq_depthoffset	acq_pixel	acq_shutterspeed	acq_smzoo	acq_exposure	acq_gain	acq_filedescription	acq_eraseborder	acq_tasktype	acq_threshold	acq_choice	acq_disktype	acq_smbase	acq_ratio	acq_descent_filter	acq_presure_gain	acq_xsize	acq_ysize	acq_barcode	proc_datetime	proc_gamma	proc_soft	lisst_zscat_filename	lisst_kernel	txt_data01	txt_data02	txt_data03	txt_data04	txt_data05	txt_data06	txt_data07	txt_data08	txt_data09	txt_data10	ptitle	rawfolder	ownerid	projid	instrumtype	op_name	op_email	cs_name	cs_email	do_name	do_email	prj_info	prj_acronym	cruise	ship	default_instrumsn	default_depthoffset	Particle filename	CTD filename	Plankton filename
33963	471	"bats361_ctd1"	"20190714130948"	116366	32.33733	-64.58973	True	True			2022-03-01 16:25:20.013419	0	0	0	0	"no"	"gf"	3963	99999999999	15110	600	False	2019-07-14 13:09:48				"10361002"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190714130948_bats361_ctd1_PAR_raw_20220810_16_31.tsv	no data available	20190714130948_bats361_ctd1_ZOO_raw_20220810_16_31.tsv
33964	471	"bats361_ctd12"	"20190715212026"	116474	31.17047	-64.31987	True	True			2022-03-01 16:25:31.907745	0	0	0	99	"no"	"xx"	12181	99999999999	40265	600	False	2019-07-15 21:20:26				"10361010"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190715212026_bats361_ctd12_PAR_raw_20220810_16_31.tsv	no data available	20190715212026_bats361_ctd12_ZOO_raw_20220810_16_31.tsv
33965	471	"bats361_ctd13"	"20190716091852"	116378	31.3524	-63.9548	True	True			2022-03-01 16:25:41.870052	0	0	0	99	"no"	"gf"	6189	99999999999	37218	600	False	2019-07-16 09:18:52				"10361011"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190716091852_bats361_ctd13_PAR_raw_20220810_16_31.tsv	no data available	20190716091852_bats361_ctd13_ZOO_raw_20220810_16_31.tsv
33966	471	"bats361_ctd14"	"20190716153955"	116471	31.67047	-64.1548	True	True			2022-03-01 16:25:47.629679	0	0	0	99	"no"	"gf"	32	99999999999	14496	600	False	2019-07-16 15:39:55				"10361012"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190716153955_bats361_ctd14_PAR_raw_20220810_16_31.tsv	no data available	20190716153955_bats361_ctd14_ZOO_raw_20220810_16_31.tsv
33967	471	"bats361_ctd15"	"20190716201616"	116374	31.48553	-64.52587	True	True			2022-03-01 16:25:57.824722	0	0	0	99	"no"	"gf"	10650	99999999999	41738	600	False	2019-07-16 20:16:16				"10361013"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190716201616_bats361_ctd15_PAR_raw_20220810_16_31.tsv	no data available	20190716201616_bats361_ctd15_ZOO_raw_20220810_16_31.tsv
33968	471	"bats361_ctd16"	"20190717040849"	116419	31.7554	-63.98733	True	True			2022-03-01 16:26:09.456499	0	0	0	99	"no"	"gf"	7303	99999999999	36970	600	False	2019-07-17 04:08:49				"10361014"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190717040849_bats361_ctd16_PAR_raw_20220810_16_31.tsv	no data available	20190717040849_bats361_ctd16_ZOO_raw_20220810_16_31.tsv
33969	471	"bats361_ctd17"	"20190717062127"	116381	31.66687	-64.16867	True	True			2022-03-01 16:26:16.682775	0	0	0	99	"no"	"gf"	6284	99999999999	20855	600	False	2019-07-17 06:21:27				"10361015"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190717062127_bats361_ctd17_PAR_raw_20220810_16_31.tsv	no data available	20190717062127_bats361_ctd17_ZOO_raw_20220810_16_31.tsv
33970	471	"bats361_ctd18"	"20190717153343"		31.72047	-64.203	True	True				0	0	0	99	"no"	"gf"	1	99999999999	41	600	False	2019-07-17 15:33:43				"10361016"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190717153343_bats361_ctd18_PAR_raw_20220810_16_31.tsv	no data available	no data available
33971	471	"bats361_ctd19"	"20190717221259"	116460	31.73973	-64.22467	True	True			2022-03-01 16:26:42.869540	0	0	0	99	"no"	"gf"	42	99999999999	27772	600	False	2019-07-17 22:12:59				"10361018"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190717221259_bats361_ctd19_PAR_raw_20220810_16_31.tsv	no data available	20190717221259_bats361_ctd19_ZOO_raw_20220810_16_31.tsv
33972	471	"bats361_ctd2"	"20190714135633"	116432	32.3018	-64.57047	True	True			2022-03-01 16:26:54.521357	0	0	0	0	"no"	"gf"	6288	99999999999	33418	600	False	2019-07-14 13:56:33				"10361003"					"sn209"	0.00279	1.2236	1.1		0.092		80	130	200	"uvp5hd sn209 : mixtfd"	0	2	3	0	0	2	3	True		2048	2048				"Zooprocess"													"uvp5_sn209_ae1917_bats_361"	"ftp_plankton/Ecotaxa_Data_to_import/UofSC_UVP5/uvp5_sn209_bats_361"	"Alex Barth (AB93@email.sc.edu)"	2551	"uvp5"	"joshua stone"	"stone@sc.edu"	"paul lethaby"	"enter op. email"	"joshua stone"	"stone@sc.edu"	"info"	"bats"	"sn209_bats_361"	"ae"	"sn209"	1.2	20190714135633_bats361_ctd2_PAR_raw_20220810_16_31.tsv	no data available	20190714135633_bats361_ctd2_ZOO_raw_20220810_16_31.tsv
